"convocation","gender","last_name","first_name","year","label","years"
1,1,"Матвієнко","Анатолій",1953,9,"1990-1994"
1,1,"Піскун","Олександр",1953,10,"1990-1994"
1,1,"Марченко","Володимир",1953,11,"1990-1994"
1,1,"Головатий","Сергій",1954,1,"1990-1994"
1,1,"Панченко","Володимир",1954,2,"1990-1994"
1,1,"Пинзеник","Віктор",1954,3,"1990-1994"
1,1,"Кінах","Анатолій",1954,4,"1990-1994"
1,1,"Бойко","Богдан",1954,5,"1990-1994"
1,1,"Даниленко","Володимир",1954,6,"1990-1994"
1,1,"Негода","Володимир",1954,7,"1990-1994"
1,1,"Чародєєв","Олександр",1955,1,"1990-1994"
1,1,"Ізмалков","Валерій",1955,2,"1990-1994"
1,1,"Шлемко","Володимир",1955,3,"1990-1994"
1,1,"Батіг","Михайло",1955,4,"1990-1994"
1,1,"Чебан","Олександр",1955,5,"1990-1994"
1,1,"Колінець","Володимир",1955,6,"1990-1994"
1,1,"Філенко","Володимир",1955,7,"1990-1994"
1,1,"Церт","Микола",1955,8,"1990-1994"
1,1,"Шведенко","Микола",1955,9,"1990-1994"
1,1,"Барабаш","Олександр",1955,10,"1990-1994"
1,1,"Толстоухов","Анатолій",1956,1,"1990-1994"
1,1,"Дашивець","Григорій",1956,2,"1990-1994"
1,1,"Бойко","Іван",1956,3,"1990-1994"
1,1,"Костицький","Василь",1956,4,"1990-1994"
1,1,"Шовкошитний","Володимир",1956,5,"1990-1994"
1,1,"Дума","Зіновій",1956,6,"1990-1994"
1,1,"Поровський","Микола",1956,7,"1990-1994"
1,1,"Воробйов","Олександр",1956,8,"1990-1994"
1,1,"Грищенко","Іван",1956,9,"1990-1994"
1,2,"Яхеєва","Тетяна",1957,1,"1990-1994"
1,1,"Шеховцов","Олексій",1957,2,"1990-1994"
1,1,"Макар","Іван",1957,3,"1990-1994"
1,2,"Завадська","Катерина",1958,1,"1990-1994"
1,1,"Рябоконь","Олександр",1958,2,"1990-1994"
1,1,"Червоній","Василь",1958,3,"1990-1994"
1,1,"Ткачук","Анатолій",1958,4,"1990-1994"
1,1,"Івасюк","Валерій",1958,5,"1990-1994"
1,1,"Ємець","Олександр",1959,1,"1990-1994"
1,1,"Хоменко","Володимир",1959,2,"1990-1994"
1,1,"Плосконос","Ігор",1959,3,"1990-1994"
1,1,"Локтєв","Сергій",1960,1,"1990-1994"
1,1,"Куніцин","Сергій",1960,2,"1990-1994"
1,1,"Пулінець","Павло",1960,3,"1990-1994"
1,1,"Семенець","Сергій",1960,4,"1990-1994"
1,1,"Макаренко","Сергій",1961,1,"1990-1994"
1,1,"Соболєв","Сергій",1961,2,"1990-1994"
1,1,"Чучук","Маркіян",1961,3,"1990-1994"
1,1,"Гринів","Ігор",1961,4,"1990-1994"
1,1,"Теряник","Віктор",1961,5,"1990-1994"
1,1,"Бойко","Вадим",1962,1,"1990-1994"
1,1,"Мостиський","Андрій",1962,2,"1990-1994"
1,1,"Деркач","Ігор",1963,1,"1990-1994"
1,1,"Збітнєв","Юрій",1963,2,"1990-1994"
1,1,"Головач","Володимир",1963,3,"1990-1994"
1,1,"Бедь","Віктор",1964,1,"1990-1994"
1,1,"Стецьків","Тарас",1964,2,"1990-1994"
1,1,"Колеснік","Сергій",1965,1,"1990-1994"
1,1,"Макеєнко","Володимир",1965,2,"1990-1994"
1,1,"Борщенко","Ігор",1966,1,"1990-1994"
2,2,"Стецько","Ярослава",1920,1,"1994-1998"
2,1,"Юхновський","Ігор",1925,1,"1994-1998"
2,1,"Славов","Микола",1926,1,"1994-1998"
2,1,"Лук'яненко","Левко",1927,1,"1994-1998"
2,1,"Кавун","Василь",1928,1,"1994-1998"
2,1,"Кожушко","Олександр",1928,2,"1994-1998"
2,1,"Коршинський","Іван",1928,3,"1994-1998"
2,1,"Масол","Віталій",1928,4,"1994-1998"
2,1,"Дем'ян","Григорій",1929,1,"1994-1998"
2,1,"Юрковський","Анатолій",1929,2,"1994-1998"
2,1,"Верхогляд","Василь",1930,1,"1994-1998"
2,1,"Яблонський","Валентин",1930,2,"1994-1998"
2,1,"Куз'єв","Василь",1931,1,"1994-1998"
2,1,"Жумикін","Альберт",1933,1,"1994-1998"
2,1,"Зарудний","Андрій",1933,2,"1994-1998"
2,1,"Звягільський","Юхим",1933,3,"1994-1998"
2,1,"Сургай","Микола",1933,4,"1994-1998"
2,1,"Золотарьов","Анатолій",1934,1,"1994-1998"
