"convocation","gender","last_name","first_name","year","years","start","age_at_start","full_name","label"
1,1,"Тарасенко","Олександр",1943,"1990-1994","1990",47,"Олександр Тарасенко",4
1,1,"Мокін","Борис",1943,"1990-1994","1990",47,"Борис Мокін",5
1,1,"Мусієнко","Іван",1943,"1990-1994","1990",47,"Іван Мусієнко",6
1,1,"Севастьянов","Володимир",1943,"1990-1994","1990",47,"Володимир Севастьянов",7
1,1,"Матвєєв","Володимир",1943,"1990-1994","1990",47,"Володимир Матвєєв",8
1,1,"Подчос","Григорій",1943,"1990-1994","1990",47,"Григорій Подчос",9
1,1,"Горохівський","Леон",1943,"1990-1994","1990",47,"Леон Горохівський",10
1,1,"Мельник","Микола",1943,"1990-1994","1990",47,"Микола Мельник",11
1,1,"Білоблоцький","Микола",1943,"1990-1994","1990",47,"Микола Білоблоцький",12
1,1,"Мисник","Павло",1943,"1990-1994","1990",47,"Павло Мисник",13
1,1,"Парасунько","Михайло",1943,"1990-1994","1990",47,"Михайло Парасунько",14
1,1,"Фоменко","Геннадій",1943,"1990-1994","1990",47,"Геннадій Фоменко",15
1,1,"Бондаренко","Віктор",1943,"1990-1994","1990",47,"Віктор Бондаренко",16
1,1,"Шульга","Микола",1943,"1990-1994","1990",47,"Микола Шульга",17
1,1,"Чорнокур","Володимир",1943,"1990-1994","1990",47,"Володимир Чорнокур",18
1,1,"Сухий","Василь",1944,"1990-1994","1990",46,"Василь Сухий",1
1,1,"Гребенченко","Леонід",1944,"1990-1994","1990",46,"Леонід Гребенченко",2
1,1,"Хотлубєй","Юрій",1944,"1990-1994","1990",46,"Юрій Хотлубєй",3
1,1,"Новіков","Володимир",1944,"1990-1994","1990",46,"Володимир Новіков",4
1,1,"Кисельов","Анатолій",1944,"1990-1994","1990",46,"Анатолій Кисельов",5
1,1,"Шевченко","Володимир",1944,"1990-1994","1990",46,"Володимир Шевченко",6
1,1,"Пушик","Степан",1944,"1990-1994","1990",46,"Степан Пушик",7
1,1,"Ніколаєнко","Іван",1944,"1990-1994","1990",46,"Іван Ніколаєнко",8
1,1,"Мороз","Олександр",1944,"1990-1994","1990",46,"Олександр Мороз",9
1,1,"Кузьменко","Микола",1944,"1990-1994","1990",46,"Микола Кузьменко",10
1,1,"Передрій","Борис",1944,"1990-1994","1990",46,"Борис Передрій",11
1,1,"Гринчук","Іван",1944,"1990-1994","1990",46,"Іван Гринчук",12
1,1,"Крупа","Лев",1944,"1990-1994","1990",46,"Лев Крупа",13
1,1,"Бідений","Василь",1944,"1990-1994","1990",46,"Василь Бідений",14
1,1,"Приходько","Віктор",1944,"1990-1994","1990",46,"Віктор Приходько",15
1,1,"Слободенюк","Володимир",1944,"1990-1994","1990",46,"Володимир Слободенюк",16
1,1,"Тризна","Валентин",1945,"1990-1994","1990",45,"Валентин Тризна",1
1,1,"Черненко","Віталій",1945,"1990-1994","1990",45,"Віталій Черненко",2
1,1,"Поличко","Андрій",1945,"1990-1994","1990",45,"Андрій Поличко",3
1,1,"Габор","Іван",1945,"1990-1994","1990",45,"Іван Габор",4
1,1,"Пшеничников","Анатолій",1945,"1990-1994","1990",45,"Анатолій Пшеничников",5
1,1,"Перепадін","Олександр",1945,"1990-1994","1990",45,"Олександр Перепадін",6
1,1,"Хмельнюк","Валерій",1945,"1990-1994","1990",45,"Валерій Хмельнюк",7
1,1,"Гриньов","Володимир",1945,"1990-1994","1990",45,"Володимир Гриньов",8
1,1,"Науменко","Микола",1945,"1990-1994","1990",45,"Микола Науменко",9
1,1,"Дронь","Анатолій",1945,"1990-1994","1990",45,"Анатолій Дронь",10
1,1,"Яришев","Микола",1945,"1990-1994","1990",45,"Микола Яришев",11
1,2,"Єщенко","Валентина",1946,"1990-1994","1990",44,"Валентина Єщенко",1
1,1,"Дзюба","Микола",1946,"1990-1994","1990",44,"Микола Дзюба",2
1,1,"Жуков","Володимир",1946,"1990-1994","1990",44,"Володимир Жуков",3
1,1,"Бандура","Анатолій",1946,"1990-1994","1990",44,"Анатолій Бандура",4
1,1,"Мартинов","Анатолій",1946,"1990-1994","1990",44,"Анатолій Мартинов",5
1,1,"Спис","Микола",1946,"1990-1994","1990",44,"Микола Спис",6
1,1,"Гаврилов","Анатолій",1946,"1990-1994","1990",44,"Анатолій Гаврилов",7
1,1,"Виноградський","Максим",1946,"1990-1994","1990",44,"Максим Виноградський",8
1,1,"Дунтау","Олександр",1946,"1990-1994","1990",44,"Олександр Дунтау",9
1,1,"Носов","Владислав",1946,"1990-1994","1990",44,"Владислав Носов",10
1,1,"Петров","Віктор",1946,"1990-1994","1990",44,"Віктор Петров",11
1,1,"Баталов","Валерій",1946,"1990-1994","1990",44,"Валерій Баталов",12
1,1,"Коржик","Валентин",1946,"1990-1994","1990",44,"Валентин Коржик",13
1,1,"Глуховський","Анатолій",1946,"1990-1994","1990",44,"Анатолій Глуховський",14
1,1,"Любенчук","Микола",1946,"1990-1994","1990",44,"Микола Любенчук",15
1,1,"Лобач","В'ячеслав",1946,"1990-1994","1990",44,"В'ячеслав Лобач",16
1,1,"Старіченко","Олександр",1947,"1990-1994","1990",43,"Олександр Старіченко",1
1,1,"Васильєв","Василь",1947,"1990-1994","1990",43,"Василь Васильєв",2
1,1,"Герасименко","Станіслав",1947,"1990-1994","1990",43,"Станіслав Герасименко",3
1,1,"Сидоренко","Микола",1947,"1990-1994","1990",43,"Микола Сидоренко",4
1,1,"Бабенко","Станіслав",1947,"1990-1994","1990",43,"Станіслав Бабенко",5
1,1,"Сичов","Віктор",1947,"1990-1994","1990",43,"Віктор Сичов",6
1,1,"Ніколенко","Анатолій",1947,"1990-1994","1990",43,"Анатолій Ніколенко",7
1,1,"Петренко","Володимир",1947,"1990-1994","1990",43,"Володимир Петренко",8
1,1,"Волковецький","Степан",1947,"1990-1994","1990",43,"Степан Волковецький",9
1,1,"Нечипоренко","Олександр",1947,"1990-1994","1990",43,"Олександр Нечипоренко",10
1,1,"Матійко","Анатолій",1947,"1990-1994","1990",43,"Анатолій Матійко",11
1,1,"Казак","Леонід",1947,"1990-1994","1990",43,"Леонід Казак",12
1,1,"Мещеряков","Валерій",1947,"1990-1994","1990",43,"Валерій Мещеряков",13
1,1,"Левченко","Геннадій",1947,"1990-1994","1990",43,"Геннадій Левченко",14
1,1,"Валеня","Іван",1947,"1990-1994","1990",43,"Іван Валеня",15
1,1,"Гайсинський","Юрій",1947,"1990-1994","1990",43,"Юрій Гайсинський",16
1,1,"Ганжа","Микола",1947,"1990-1994","1990",43,"Микола Ганжа",17
1,1,"Дмитрієв","Євген",1947,"1990-1994","1990",43,"Євген Дмитрієв",18
1,1,"Протасов","Валентин",1947,"1990-1994","1990",43,"Валентин Протасов",19
1,1,"Яцуба","Володимир",1947,"1990-1994","1990",43,"Володимир Яцуба",20
1,1,"Корж","Анатолій",1947,"1990-1994","1990",43,"Анатолій Корж",21
